IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2219,"{1, 13, 16, 22, 25}","{32, 1, 2, 4, 39, 40, 11, 23, 25, 29, 30, 31}",2,"[1, 25]",8,False
2220,"{34, 39, 15, 16, 26}","{32, 2, 35, 4, 5, 39, 41, 11, 23, 29, 30, 31}",1,[39],6,False
2221,"{2, 36, 5, 23, 27}","{32, 2, 35, 4, 5, 3, 6, 8, 41, 11, 23, 24, 29, 31}",4,"[2, 5, 23]",12,True
2222,"{39, 14, 15, 17, 23}","{32, 33, 35, 4, 3, 6, 8, 41, 11, 12, 20, 24, 31}",0,[],6,False
2223,"{3, 35, 9, 10, 19}","{32, 33, 35, 4, 3, 6, 8, 41, 43, 12, 20, 22, 24, 31}",2,"[35, 3]",8,False
2224,"{32, 7, 42, 13, 19}","{32, 33, 1, 4, 6, 8, 41, 43, 12, 18, 20, 24}",1,[32],7,False
2225,"{33, 34, 3, 25, 30}","{1, 33, 34, 4, 6, 41, 43, 12, 16, 18, 20, 21, 22, 24}",2,"[33, 34]",1,False
2226,"{2, 35, 4, 20, 21}","{1, 2, 4, 5, 6, 41, 43, 12, 16, 18, 20, 21, 22, 24, 26, 27}",4,"[2, 21, 4, 20]",3,False
2227,"{33, 5, 8, 19, 30}","{1, 36, 5, 6, 41, 43, 12, 14, 15, 16, 18, 22, 24, 26, 27}",1,[5],1,False
2228,"{33, 2, 4, 12, 21}","{36, 6, 9, 12, 14, 15, 16, 18, 26, 27}",1,[12],2,False
2229,"{3, 37, 5, 42, 28}","{36, 7, 9, 42, 14, 15, 16, 26, 27}",2,[42],15,True
2230,"{1, 3, 35, 8, 31}","{32, 34, 36, 7, 9, 13, 14, 15, 16, 26, 27}",0,[],16,False
2231,"{1, 3, 15, 19, 29}","{32, 34, 36, 7, 39, 9, 13, 14, 15, 16, 17, 20, 26, 27}",2,[15],13,True
2232,"{37, 41, 12, 21, 25}","{32, 34, 36, 39, 7, 9, 13, 14, 16, 17, 20, 26, 27, 30}",0,[],3,False
2233,"{39, 40, 9, 21, 24}","{32, 34, 2, 39, 7, 13, 17, 20, 23, 26, 27, 30}",1,[39],12,False
2234,"{37, 5, 8, 20, 24}","{32, 33, 2, 34, 5, 7, 10, 42, 13, 17, 20, 23, 27, 30}",2,"[20, 5]",4,False
2235,"{2, 4, 6, 9, 25}","{32, 33, 2, 4, 7, 42, 10, 13, 17, 23, 28, 30}",2,"[2, 4]",13,False
2236,"{9, 12, 16, 17, 21}","{32, 33, 1, 3, 42, 10, 13, 15, 17, 23, 28, 29, 30}",1,[17],14,False
2237,"{32, 2, 10, 42, 13}","{32, 1, 33, 35, 3, 10, 42, 13, 15, 23, 28, 29, 30, 31}",5,"[32, 10, 42, 13]",1,True
2238,"{36, 20, 28, 30, 31}","{1, 33, 35, 15, 23, 28, 29, 31}",3,"[28, 31]",8,True
2239,"{4, 36, 43, 19, 22}","{1, 33, 35, 5, 37, 8, 40, 15, 19, 23, 29}",1,[19],10,False
