IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2219,"{1, 35, 43, 26, 27}","{33, 36, 4, 38, 9, 42, 11, 16, 18, 26, 28, 29, 30}",1,[26],11,False
2220,"{4, 42, 12, 17, 19}","{33, 4, 36, 38, 8, 9, 42, 11, 13, 16, 17, 18, 28, 29, 30}",3,"[17, 42, 4]",14,False
2221,"{33, 4, 9, 41, 26}","{33, 3, 36, 38, 8, 10, 11, 13, 15, 16, 18, 22, 25, 28, 29, 30, 31}",2,[33],3,True
2222,"{1, 33, 12, 15, 22}","{3, 36, 38, 7, 8, 40, 10, 11, 39, 13, 14, 15, 16, 18, 22, 25, 30, 31}",2,"[22, 15]",16,False
2223,"{32, 34, 43, 12, 18}","{3, 36, 38, 7, 40, 39, 8, 11, 10, 13, 14, 6, 24, 25, 30, 31}",0,[],4,False
2224,"{34, 6, 8, 41, 20}","{3, 36, 6, 7, 40, 39, 8, 11, 38, 13, 14, 20, 24, 25, 31}",3,"[8, 20, 6]",8,False
2225,"{32, 9, 10, 18, 29}","{2, 3, 35, 39, 40, 7, 10, 11, 13, 14, 24, 25, 26, 31}",1,[10],4,False
2226,"{3, 6, 7, 42, 26}","{2, 35, 3, 39, 40, 7, 11, 14, 19, 24, 25, 26, 27, 31}",3,"[26, 3, 7]",11,False
2227,"{32, 34, 37, 11, 16}","{33, 2, 35, 4, 37, 39, 40, 11, 14, 17, 19, 24, 25, 27}",3,"[11, 37]",5,True
2228,"{36, 37, 38, 6, 17}","{33, 2, 35, 4, 39, 43, 12, 14, 17, 19, 22, 24, 25, 27}",1,[17],11,False
2229,"{3, 5, 42, 15, 22}","{1, 2, 33, 4, 35, 8, 41, 43, 12, 14, 15, 19, 22, 24, 25, 27}",2,"[22, 15]",2,False
2230,"{34, 5, 43, 16, 23}","{1, 2, 33, 4, 8, 9, 41, 43, 12, 14, 19, 25, 27}",2,[43],16,True
2231,"{36, 41, 10, 17, 31}","{1, 2, 33, 4, 8, 9, 41, 10, 12, 26}",3,"[41, 10]",14,True
2232,"{33, 34, 36, 12, 24}","{32, 1, 4, 7, 8, 9, 12, 18, 20, 26}",2,[12],3,True
2233,"{35, 3, 36, 37, 14}","{32, 1, 4, 6, 7, 8, 9, 38, 18, 20, 26, 29}",1,[],8,True
